,gene_ids,feature_types,genome,mt,chromosome,start,end,cnv_called,highly_variable,means,dispersions,dispersions_norm
RPS12,ENSG00000112306.7_2,Gene Expression,GRCh37_liftover_v28,False,chr6,132814569.0,132817564.0,True,False,3.8046533532232103,2.925398122397935,-0.0521408
MT-ND2,ENSG00000198763.3,Gene Expression,GRCh37_liftover_v28,True,chrM,4470.0,5511.0,False,False,3.792374459981352,3.0761989325037447,0.27185297
RPL13A,ENSG00000142541.16_3,Gene Expression,GRCh37_liftover_v28,False,chr19,49487510.0,49493057.0,True,False,3.7806413716318623,3.128888849590348,0.38505664
RPL28,ENSG00000108107.14_3,Gene Expression,GRCh37_liftover_v28,False,chr19,55385932.0,55403250.0,True,False,3.7800683460248665,2.356605205863888,-1.2741857
RPS15A,ENSG00000134419.15_3,Gene Expression,GRCh37_liftover_v28,False,chr16,18781295.0,18790383.0,True,False,3.7785190190151843,2.7187973903321776,-0.49602005
TMSB10,ENSG00000034510.5_2,Gene Expression,GRCh37_liftover_v28,False,chr2,84905656.0,84906671.0,True,False,3.770622677334911,3.275969677206985,0.7010581
RPS2,ENSG00000140988.15_3,Gene Expression,GRCh37_liftover_v28,False,chr16,1962058.0,1964841.0,True,False,3.762803937966549,2.696550438045199,-0.54381734
RPL39,ENSG00000198918.7_2,Gene Expression,GRCh37_liftover_v28,False,chrX,119786504.0,119791630.0,False,False,3.7580066073739293,2.506036922021527,-0.9531334
MT-RNR1,ENSG00000211459.2,Gene Expression,GRCh37_liftover_v28,True,chrM,648.0,1601.0,False,False,3.752657614676508,4.326106496251899,2.9572647
RPL21,ENSG00000122026.10_2,Gene Expression,GRCh37_liftover_v28,False,chr13,27251362.0,27256691.0,True,False,3.7440820742298917,2.683181241655877,-0.57254094
RPL34,ENSG00000109475.16_2,Gene Expression,GRCh37_liftover_v28,False,chr4,108620569.0,108630412.0,True,False,3.7366352910086382,2.7915454717656645,-0.33972165
MT-ND1,ENSG00000198888.2,Gene Expression,GRCh37_liftover_v28,True,chrM,3307.0,4262.0,False,False,3.673741334416395,3.1524107781839747,0.66883403
RPL32,ENSG00000144713.12_2,Gene Expression,GRCh37_liftover_v28,False,chr3,12834485.0,12841582.0,True,False,3.6515895327366583,2.5966055552060125,-0.17058629
RPLP2,ENSG00000177600.8_2,Gene Expression,GRCh37_liftover_v28,False,chr11,809965.0,812880.0,True,False,3.6429107216515204,2.7428041462458808,0.050214205
RPS29,ENSG00000213741.10_4,Gene Expression,GRCh37_liftover_v28,False,chr14,49570984.0,49599164.0,True,False,3.636713252297395,2.8285447650653306,0.17970636
HLA-B,ENSG00000234745.10_2,Gene Expression,GRCh37_liftover_v28,False,chr6,31353872.0,31367067.0,True,False,3.6287217824751425,2.625839661685087,-0.12643467
RPS27A,ENSG00000143947.13_2,Gene Expression,GRCh37_liftover_v28,False,chr2,55231903.0,55235853.0,True,False,3.626314528986629,2.4869660007728154,-0.3361725
RPS14,ENSG00000164587.12_4,Gene Expression,GRCh37_liftover_v28,False,chr5,150442635.0,150449739.0,True,False,3.5863949625982134,2.4356100465542885,-0.41373426
RPS28,ENSG00000233927.4_2,Gene Expression,GRCh37_liftover_v28,False,chr19,8321158.0,8323340.0,True,False,3.578740960441413,2.2125287129797937,-0.75064903
PTMA,ENSG00000187514.16_4,Gene Expression,GRCh37_liftover_v28,False,chr2,231706895.0,231713551.0,True,False,3.5420585064726655,2.6908426488317074,-0.028262097
RPS15,ENSG00000115268.9_4,Gene Expression,GRCh37_liftover_v28,False,chr19,1438358.0,1440495.0,True,False,3.5303742859072864,2.142193685553229,-0.85687447
RPL18A,ENSG00000105640.12_2,Gene Expression,GRCh37_liftover_v28,False,chr19,17859910.0,17864153.0,True,False,3.516618773365236,2.454669455894777,-0.38494924
RPS6,ENSG00000137154.12_2,Gene Expression,GRCh37_liftover_v28,False,chr9,19375715.0,19380236.0,True,False,3.5102031574880734,2.6911963967532397,-0.027727839
CD74,ENSG00000019582.14_4,Gene Expression,GRCh37_liftover_v28,False,chr5,150401637.0,150412969.0,True,False,3.4781180752817047,4.448652254400037,2.626519
RPL3,ENSG00000100316.15_3,Gene Expression,GRCh37_liftover_v28,False,chr22,39312882.0,39320389.0,True,False,3.4448781797307553,2.6552427413004556,-0.08202785
RPS3A,ENSG00000145425.9_2,Gene Expression,GRCh37_liftover_v28,False,chr4,151099624.0,151104642.0,True,False,3.444609388657957,2.4593997525620455,-0.37780517
RPL11,ENSG00000142676.13_3,Gene Expression,GRCh37_liftover_v28,False,chr1,23691742.0,23696835.0,True,False,3.4284516926647592,2.283504638305778,-0.6434557
RPS4X,ENSG00000198034.10_2,Gene Expression,GRCh37_liftover_v28,False,chrX,72255679.0,72277248.0,False,False,3.4200047829098064,2.5535909491982896,-0.2355503
RPL26,ENSG00000161970.13_4,Gene Expression,GRCh37_liftover_v28,False,chr17,8377516.0,8383213.0,True,False,3.4156273298739914,2.2258663023447105,-0.7305056
RPS3,ENSG00000149273.14_3,Gene Expression,GRCh37_liftover_v28,False,chr11,75399515.0,75422280.0,True,False,3.3898658667198505,2.492440989352228,-0.32790375
RPL19,ENSG00000108298.10_3,Gene Expression,GRCh37_liftover_v28,False,chr17,39200283.0,39204840.0,True,False,3.387690450558785,2.2192822479256047,-0.74044937
HLA-DRA,ENSG00000204287.13_2,Gene Expression,GRCh37_liftover_v28,False,chr6,32439878.0,32445046.0,True,False,3.3851614228890465,4.7875043829842285,3.1382797
RPS8,ENSG00000142937.11_2,Gene Expression,GRCh37_liftover_v28,False,chr1,44775251.0,44778779.0,True,False,3.3787563072339175,2.4245320455870205,-0.4304651
RPL23A,ENSG00000198242.13_2,Gene Expression,GRCh37_liftover_v28,False,chr17,28719985.0,28724359.0,True,False,3.3645405398234227,2.3910210727660104,-0.055869382
RPL15,ENSG00000174748.19_4,Gene Expression,GRCh37_liftover_v28,False,chr3,23916591.0,23924374.0,True,False,3.3246131179001552,2.058161596954349,-0.38525006
RPS23,ENSG00000186468.12_2,Gene Expression,GRCh37_liftover_v28,False,chr5,82273320.0,82278396.0,True,False,3.305975534775059,2.1915077738632966,-0.2532975
RPL27A,ENSG00000166441.12_3,Gene Expression,GRCh37_liftover_v28,False,chr11,8682788.0,8714759.0,True,False,3.3035461354331574,2.5742020027079198,0.12539709
RPL37,ENSG00000145592.13_3,Gene Expression,GRCh37_liftover_v28,False,chr5,40825262.0,40835222.0,True,False,3.2986848422832002,2.2398525474670032,-0.20545802
RPS24,ENSG00000138326.19_3,Gene Expression,GRCh37_liftover_v28,False,chr10,78033760.0,78056813.0,True,False,3.294180793774745,1.8879916668423686,-0.5536415
RPL30,ENSG00000156482.10_2,Gene Expression,GRCh37_liftover_v28,False,chr8,98024851.0,98046469.0,True,False,3.28147253407175,2.375927857750146,-0.07080486
SPP1,ENSG00000118785.13_4,Gene Expression,GRCh37_liftover_v28,False,chr4,87975667.0,87983532.0,True,False,3.2760440137530007,6.387495109402053,3.8988366
RPL37A,ENSG00000197756.9_2,Gene Expression,GRCh37_liftover_v28,False,chr2,216498825.0,216579180.0,True,False,3.2591579065776424,1.9684551931244119,-0.47401893
RPL12,ENSG00000197958.12_2,Gene Expression,GRCh37_liftover_v28,False,chr9,127447674.0,127451406.0,True,False,3.2471671603259415,2.066081987166181,-0.37741247
GAPDH,ENSG00000111640.14_2,Gene Expression,GRCh37_liftover_v28,False,chr12,6534512.0,6538374.0,True,False,3.240729092132151,3.083941216399793,0.6298089
HLA-A,ENSG00000206503.12_3,Gene Expression,GRCh37_liftover_v28,False,chr6,29941260.0,29945884.0,True,False,3.236173501036065,2.7824659567033962,0.33148444
RPL35A,ENSG00000182899.15_3,Gene Expression,GRCh37_liftover_v28,False,chr3,197950190.0,197956610.0,True,False,3.1961903303364414,2.1180103073964514,-0.32602686
RPS16,ENSG00000105193.8_2,Gene Expression,GRCh37_liftover_v28,False,chr19,39433137.0,39435949.0,True,False,3.192859634271677,2.116452424090687,-0.32756844
RPL36,ENSG00000130255.12_4,Gene Expression,GRCh37_liftover_v28,False,chr19,5674947.0,5691875.0,True,False,3.1751575600467636,1.9830690081362936,-0.45955783
RPS25,ENSG00000118181.10_2,Gene Expression,GRCh37_liftover_v28,False,chr11,119015712.0,119018691.0,True,False,3.1734630912174056,2.230257026075848,-0.21495324
RPL35,ENSG00000136942.14_2,Gene Expression,GRCh37_liftover_v28,False,chr9,124857880.0,124861981.0,True,False,3.1633275646616226,1.8957953962783238,-0.54591936
SSR4,ENSG00000180879.13_3,Gene Expression,GRCh37_liftover_v28,False,chrX,153793516.0,153798499.0,False,False,3.1562665829620786,4.256539042228265,1.7901516
RPL9,ENSG00000163682.16_4,Gene Expression,GRCh37_liftover_v28,False,chr4,39452587.0,39458931.0,True,False,3.149496646191861,2.0735076342067806,-0.3700644
RPL8,ENSG00000161016.17_3,Gene Expression,GRCh37_liftover_v28,False,chr8,144789765.0,144792587.0,True,False,3.148027299091562,2.00704785134968,-0.4358296
RPL18,ENSG00000063177.12_3,Gene Expression,GRCh37_liftover_v28,False,chr19,48615328.0,48619184.0,True,False,3.1013697819923545,1.9314851628232714,-0.5106026
FAU,ENSG00000149806.10_3,Gene Expression,GRCh37_liftover_v28,False,chr11,65120630.0,65122177.0,True,False,3.0993711181405343,1.680445650622952,-0.7590184
RPS13,ENSG00000110700.6_3,Gene Expression,GRCh37_liftover_v28,False,chr11,17074388.0,17077715.0,True,False,3.0828695780201367,1.9923385716924713,-0.45038515
RPL29,ENSG00000162244.10_4,Gene Expression,GRCh37_liftover_v28,False,chr3,51993522.0,51995895.0,True,False,3.0388455542598543,1.9174790077495893,-0.7003629
PFN1,ENSG00000108518.7_2,Gene Expression,GRCh37_liftover_v28,False,chr17,4945652.0,4949061.0,True,False,3.032600367022672,2.9114420170471917,1.0025903
RPL7,ENSG00000147604.13_2,Gene Expression,GRCh37_liftover_v28,False,chr8,73290242.0,73295789.0,True,False,3.026745814957375,2.415377651222171,0.152685
RPS9,ENSG00000170889.13_3,Gene Expression,GRCh37_liftover_v28,False,chr19,54200809.0,54249003.0,True,False,3.0123484866214723,1.7848836774443235,-0.927538
RPS7,ENSG00000171863.13_3,Gene Expression,GRCh37_liftover_v28,False,chr2,3575260.0,3580920.0,True,False,3.004990087575429,1.842404911794713,-0.82898706
EIF1,ENSG00000173812.10_2,Gene Expression,GRCh37_liftover_v28,False,chr17,41688885.0,41692668.0,True,False,2.994200750421636,1.844593239280192,-0.8252378
RPL7A,ENSG00000148303.16_2,Gene Expression,GRCh37_liftover_v28,False,chr9,133348218.0,133351426.0,True,False,2.989860623383691,1.9792884169332692,-0.5944651
HLA-C,ENSG00000204525.16_2,Gene Expression,GRCh37_liftover_v28,False,chr6,31268749.0,31272130.0,True,False,2.983474820588846,2.3588335704932306,0.055808235
SRGN,ENSG00000122862.4_2,Gene Expression,GRCh37_liftover_v28,False,chr10,69088103.0,69104805.0,True,False,2.982442583040088,2.5955786566363686,0.4614227
CCL5,ENSG00000271503.5_2,Gene Expression,GRCh37_liftover_v28,False,chr17,35871491.0,35880793.0,True,True,2.942336646913557,4.146122426497326,3.1179636
RPL6,ENSG00000089009.15_2,Gene Expression,GRCh37_liftover_v28,False,chr12,112405189.0,112418838.0,True,False,2.942076228727602,1.9189385059963862,-0.6978624
RGS1,ENSG00000090104.11_2,Gene Expression,GRCh37_liftover_v28,False,chr1,192575763.0,192580024.0,True,True,2.9264344579310704,2.9927418670218504,1.141881
NEAT1,ENSG00000245532.8_4,Gene Expression,GRCh37_liftover_v28,False,chr11,65422774.0,65445540.0,True,True,2.904115990788537,3.1661644361435313,1.4390053
RPL14,ENSG00000188846.13_3,Gene Expression,GRCh37_liftover_v28,False,chr3,40457292.0,40468587.0,True,False,2.898775199351001,1.9156272091871709,-0.7035356
RPS5,ENSG00000083845.8_2,Gene Expression,GRCh37_liftover_v28,False,chr19,58386400.0,58394806.0,True,False,2.8962791224312,2.119374858086223,-0.3544555
UBA52,ENSG00000221983.7_3,Gene Expression,GRCh37_liftover_v28,False,chr19,18571730.0,18577550.0,True,False,2.892255542978373,1.5201052144739147,-1.381182
ACTG1,ENSG00000184009.10_4,Gene Expression,GRCh37_liftover_v28,False,chr17,81509413.0,81523847.0,True,False,2.8874001413390933,2.4554880707384203,0.22140604
CYBA,ENSG00000051523.10_3,Gene Expression,GRCh37_liftover_v28,False,chr16,88643275.0,88651083.0,True,False,2.8873140344492465,2.4316544708758627,0.18057202
RPL10A,ENSG00000198755.10_2,Gene Expression,GRCh37_liftover_v28,False,chr6,35468401.0,35470785.0,True,False,2.88012738105388,2.001283331368236,-0.5567813
S100A4,ENSG00000196154.11_3,Gene Expression,GRCh37_liftover_v28,False,chr1,153543613.0,153550136.0,True,True,2.8799634882456595,3.2398835433416475,1.5653079
SERF2,ENSG00000140264.19_5,Gene Expression,GRCh37_liftover_v28,False,chr15,43777087.0,43804427.0,True,False,2.8781843673242298,1.7357687449239985,-1.0116864
RPS26,ENSG00000197728.10_4,Gene Expression,GRCh37_liftover_v28,False,chr12,56041351.0,56044697.0,True,False,2.857677007136596,2.5848951510997784,0.44311872
RPS11,ENSG00000142534.6_3,Gene Expression,GRCh37_liftover_v28,False,chr19,49496365.0,49499708.0,True,False,2.8476677662720946,1.694759933763773,-1.0819467
RPS20,ENSG00000008988.9_2,Gene Expression,GRCh37_liftover_v28,False,chr8,56067254.0,56074510.0,True,False,2.8263978425945653,2.1831677852397915,-0.24515931
RPS21,ENSG00000171858.17_2,Gene Expression,GRCh37_liftover_v28,False,chr20,62387103.0,62388520.0,True,False,2.8247584262330214,1.938968948148044,-0.6635443
SH3BGRL3,ENSG00000142669.14_3,Gene Expression,GRCh37_liftover_v28,False,chr1,26280086.0,26281522.0,True,False,2.7772097033369803,2.5907158088539397,0.45309123
RPL31,ENSG00000071082.10_3,Gene Expression,GRCh37_liftover_v28,False,chr2,101002229.0,101024032.0,True,True,2.768518731354775,2.621997907161903,0.50668675
RPL27,ENSG00000131469.13_3,Gene Expression,GRCh37_liftover_v28,False,chr17,42998273.0,43002959.0,True,False,2.7679052253705407,1.795258796741571,-0.9097623
BTG1,ENSG00000133639.4_3,Gene Expression,GRCh37_liftover_v28,False,chr12,92140278.0,92145846.0,True,True,2.767443501701852,2.758740864740454,0.7409679
RPSA,ENSG00000168028.13_3,Gene Expression,GRCh37_liftover_v28,False,chr3,39406716.0,39412542.0,True,False,2.760428535887387,1.996262968201127,-0.7658061
MYL6,ENSG00000092841.18_5,Gene Expression,GRCh37_liftover_v28,False,chr12,56158346.0,56163496.0,True,False,2.759997039239866,1.9697239359426397,-0.7908717
RPL24,ENSG00000114391.12_2,Gene Expression,GRCh37_liftover_v28,False,chr3,101681091.0,101686718.0,True,False,2.7580893785078464,1.6648174940272267,-1.0788499
RPLP0,ENSG00000089157.15_3,Gene Expression,GRCh37_liftover_v28,False,chr12,120196699.0,120201235.0,True,False,2.7528107039854337,2.250060315389148,-0.5260993
FOS,ENSG00000170345.9_3,Gene Expression,GRCh37_liftover_v28,False,chr14,75278826.0,75282230.0,True,False,2.7172476722583756,3.1651723475829026,0.33820638
DUSP1,ENSG00000120129.5_2,Gene Expression,GRCh37_liftover_v28,False,chr5,172768096.0,172771195.0,True,False,2.7078130265412095,2.7513680178201443,-0.05262386
RACK1,ENSG00000204628.11_3,Gene Expression,GRCh37_liftover_v28,False,chr5,181236897.0,181248096.0,True,False,2.7027858418700523,1.7337307124353247,-1.0137627
RPL38,ENSG00000172809.12_3,Gene Expression,GRCh37_liftover_v28,False,chr17,74203582.0,74210655.0,True,False,2.6976733687970182,1.8228528060650133,-0.9295886
RPL5,ENSG00000122406.13_3,Gene Expression,GRCh37_liftover_v28,False,chr1,92832013.0,92841924.0,True,False,2.6961495380615097,1.895195168447718,-0.8612626
VIM,ENSG00000026025.15_4,Gene Expression,GRCh37_liftover_v28,False,chr10,17228241.0,17237593.0,True,False,2.6961041342692607,2.757409542228108,-0.046917755
IL32,ENSG00000008517.16_5,Gene Expression,GRCh37_liftover_v28,False,chr16,3065297.0,3082192.0,True,True,2.6952188584144148,3.420904577462759,0.5797405
CFL1,ENSG00000172757.12_3,Gene Expression,GRCh37_liftover_v28,False,chr11,65823022.0,65862026.0,True,False,2.6899039248521244,2.1247463067121526,-0.644456
GZMA,ENSG00000145649.7_2,Gene Expression,GRCh37_liftover_v28,False,chr5,55102646.0,55110252.0,True,True,2.68886258335856,4.487385114884811,1.5870109
SAT1,ENSG00000130066.16_2,Gene Expression,GRCh37_liftover_v28,False,chrX,23783173.0,23786210.0,False,False,2.6634153089598627,3.281217169799753,0.44780847
HLA-DRB1,ENSG00000196126.11_2,Gene Expression,GRCh37_liftover_v28,False,chr6,32577902.0,32589848.0,True,True,2.6509023952052555,4.007098372428858,1.1333894
UBC,ENSG00000150991.14_4,Gene Expression,GRCh37_liftover_v28,False,chr12,124911604.0,124917368.0,True,False,2.6376422428851423,2.4582488093795503,-0.32946932
S100A6,ENSG00000197956.9_2,Gene Expression,GRCh37_liftover_v28,False,chr1,153534599.0,153536244.0,True,False,2.633907952642842,2.8950968545864604,0.08312526
HSP90AA1,ENSG00000080824.18_3,Gene Expression,GRCh37_liftover_v28,False,chr14,102080742.0,102139699.0,True,False,2.6308197459493523,2.9559663976792425,0.14061537
GNLY,ENSG00000115523.16_2,Gene Expression,GRCh37_liftover_v28,False,chr2,85685175.0,85698852.0,True,True,2.616328681705648,5.2114030529809225,2.2708318
CCL4,ENSG00000275302.1_2,Gene Expression,GRCh37_liftover_v28,False,chr17,36103827.0,36105621.0,True,True,2.590747112457033,4.951007910787412,2.0248938
LGALS1,ENSG00000100097.11_2,Gene Expression,GRCh37_liftover_v28,False,chr22,37675636.0,37679802.0,True,True,2.5862759821431034,3.3870906097587707,0.5478039
RPL22,ENSG00000116251.9_3,Gene Expression,GRCh37_liftover_v28,False,chr1,6185020.0,6209389.0,True,False,2.5856207880824376,1.5874851866273405,-1.1518888
TSC22D3,ENSG00000157514.16_4,Gene Expression,GRCh37_liftover_v28,False,chrX,107713221.0,107777342.0,False,False,2.56620031770941,2.518759293645152,-0.27231833
OAZ1,ENSG00000104904.12_4,Gene Expression,GRCh37_liftover_v28,False,chr19,2269509.0,2273490.0,True,False,2.543024858308798,1.5707170756881088,-1.1677259
LYZ,ENSG00000090382.6_2,Gene Expression,GRCh37_liftover_v28,False,chr12,69348381.0,69354234.0,True,True,2.5409780314640225,4.609445376883329,1.7022945
NACA,ENSG00000196531.10_3,Gene Expression,GRCh37_liftover_v28,False,chr12,56712305.0,56731628.0,True,False,2.5147646143785543,1.4370073213642214,-1.2940123
MZB1,ENSG00000170476.15_2,Gene Expression,GRCh37_liftover_v28,False,chr5,139387467.0,139390081.0,True,True,2.5037421683201995,4.057907376104828,1.1813774
MT-ND5,ENSG00000198786.2,Gene Expression,GRCh37_liftover_v28,True,chrM,12337.0,14148.0,False,False,2.5002616112813354,2.245725098107439,-0.53019387
CD52,ENSG00000169442.8_2,Gene Expression,GRCh37_liftover_v28,False,chr1,26317958.0,26320523.0,True,False,2.4889418172942035,2.972424327949695,0.15615958
EEF1D,ENSG00000104529.17_5,Gene Expression,GRCh37_liftover_v28,False,chr8,143579697.0,143599541.0,True,False,2.4838687094921776,1.7316937549971043,-1.0156866
JUN,ENSG00000177606.6_2,Gene Expression,GRCh37_liftover_v28,False,chr1,58776845.0,58784048.0,True,False,2.4696388485023175,3.1017196051044467,0.27827647
CTSD,ENSG00000117984.13_4,Gene Expression,GRCh37_liftover_v28,False,chr11,1752752.0,1764573.0,True,True,2.453146155704796,3.8178206214797235,1.0621417
RPL23,ENSG00000125691.12_3,Gene Expression,GRCh37_liftover_v28,False,chr17,38847860.0,38853764.0,True,False,2.441480004514342,1.5872381660645147,-1.2157432
RPL4,ENSG00000174444.14_2,Gene Expression,GRCh37_liftover_v28,False,chr15,66498015.0,66524532.0,True,False,2.438162950362279,1.8536200430320273,-0.9437123
RPS10,ENSG00000124614.14_4,Gene Expression,GRCh37_liftover_v28,False,chr6,34417454.0,34426069.0,True,False,2.4041002300164447,1.7651787253319537,-1.0340291
HLA-DPA1,ENSG00000231389.7_4,Gene Expression,GRCh37_liftover_v28,False,chr6,33064569.0,33080775.0,True,True,2.401182452670394,3.6406589262472275,0.8812231
S100A11,ENSG00000163191.5_2,Gene Expression,GRCh37_liftover_v28,False,chr1,152032506.0,152047907.0,True,False,2.3915220922917086,2.8738354526592507,0.09813811
APOE,ENSG00000130203.9_3,Gene Expression,GRCh37_liftover_v28,False,chr19,44905791.0,44909393.0,True,True,2.3913413088799604,4.780920124677986,2.045665
TXNIP,ENSG00000265972.5_2,Gene Expression,GRCh37_liftover_v28,False,chr1,145992435.0,145996579.0,True,False,2.381432370306012,2.783026561461727,0.0054034973
XBP1,ENSG00000100219.16_5,Gene Expression,GRCh37_liftover_v28,False,chr22,28794555.0,28800597.0,True,True,2.371569630421132,3.9628922633051724,1.2102898
HERPUD1,ENSG00000051108.14_5,Gene Expression,GRCh37_liftover_v28,False,chr16,56932142.0,56944864.0,True,True,2.366835481448792,3.4625634242814054,0.69935083
ZFP36L2,ENSG00000152518.7_3,Gene Expression,GRCh37_liftover_v28,False,chr2,43222402.0,43226606.0,True,False,2.3529091419694312,2.544424677868107,-0.23825824
CTSB,ENSG00000164733.20_3,Gene Expression,GRCh37_liftover_v28,False,chr8,11842524.0,11869533.0,True,True,2.348293924846847,3.8512379182853724,1.0962677
C1QB,ENSG00000173369.15_3,Gene Expression,GRCh37_liftover_v28,False,chr1,22652762.0,22661637.0,True,True,2.3401883230765446,4.064914781053224,1.3144758
CXCR4,ENSG00000121966.6_2,Gene Expression,GRCh37_liftover_v28,False,chr2,136114349.0,136119177.0,True,False,2.329488785176573,2.832236093370705,0.055656582
HLA-DPB1,ENSG00000223865.10_4,Gene Expression,GRCh37_liftover_v28,False,chr6,33075990.0,33089696.0,True,True,2.3148215268106007,3.4945773218845564,0.7320436
CD3D,ENSG00000167286.9_2,Gene Expression,GRCh37_liftover_v28,False,chr11,118339075.0,118342705.0,True,False,2.3127700779038802,2.7942411187098477,0.016855873
CD63,ENSG00000135404.11_2,Gene Expression,GRCh37_liftover_v28,False,chr12,55725323.0,55729707.0,True,False,2.277211966437799,2.453907834077824,-0.33069462
SUB1,ENSG00000113387.11_3,Gene Expression,GRCh37_liftover_v28,False,chr5,32531633.0,32604079.0,True,False,2.2669034487484807,2.0598330855706126,-0.7331262
RPL36AL,ENSG00000165502.6_3,Gene Expression,GRCh37_liftover_v28,False,chr14,49618530.0,49620626.0,True,False,2.2510603105232883,1.5665249736666222,-1.2368956
ITM2B,ENSG00000136156.12_3,Gene Expression,GRCh37_liftover_v28,False,chr13,48232612.0,48270357.0,True,False,2.248533683305367,2.449140388302746,-0.33556315
COX7C,ENSG00000127184.12_5,Gene Expression,GRCh37_liftover_v28,False,chr5,86617928.0,86620962.0,True,False,2.238635542258051,1.2701682868778175,-1.5395368
C1QA,ENSG00000173372.16_3,Gene Expression,GRCh37_liftover_v28,False,chr1,22635077.0,22639678.0,True,True,2.2264417981756166,3.885953456081034,1.1317194
PFDN5,ENSG00000123349.13_3,Gene Expression,GRCh37_liftover_v28,False,chr12,53295291.0,53299452.0,True,False,2.22506228784216,1.2635193319648705,-1.5463269
ARPC2,ENSG00000163466.15_2,Gene Expression,GRCh37_liftover_v28,False,chr2,218217141.0,218254356.0,True,False,2.2228542066669728,1.5211569148518527,-1.2832258
HLA-E,ENSG00000204592.8_2,Gene Expression,GRCh37_liftover_v28,False,chr6,30489509.0,30494194.0,True,False,2.212997861116797,1.5436664659083472,-1.2602389
